Experiment,sex,Type,Genotype,Hierarchy,Mice.chips,Animal,Last.day.Glicko,RunningTime(N.events),RunningTime(min),WalkingTime(N.events),WalkingTime(min),StaticTime(N.events),StaticTime(min),movementTime(min),RunningTimeHighVelocity(N.events),RunningTimeHighVelocity(min),Median/mean.speed.(cm/sec),Median/mean.Aceleration.(cm/sec^2),Distance.traveled.(m),Angular.velocity.(rad/sec),sleepingSumTime(min),hidingSumTime(min),eatingSumTime(min),drinkingSumTime(min),Frequency.visits.the.hiding.boxes.(1/hour),Frequency.visits.outside.sleeping.box.(1/hour),ROI.exploration.(bits/hour),ArenaSumTime(min),CenterTimeAlone(min),InsideZoneTime(min),OutsideZoneTime(min),Chasing (N events),Chasing duration (sec),Being chased (N events),Being chased duration (sec),Chasing.plus.being.chasing.all(N.events),Chasing.plus.being.chasing.duration(sec),Foraging correlation,Distance pairs(cm),Together (N events),Time together(min),Contact snout-head (N events),Contact snout-rear (N events),Contact snout-head (1/min),Contact snout-rear (1/min),Approaching (N events),Approaching duration (sec),Being approached (N events),Being approached duration (sec),Approach.and.being.events,Approach.and.being.duration.sec,Avoiding (N events),Avoiding duration (sec),Avoid.and.being.events,Avoid.plus.being.duration.sec,Being avoided (N events),Being avoided duration (sec),Last.Day.Stability,Overall.Stability,Glicko.per.day.y
Exp55R,male,wild,WT,epsilon,7947702,18,1956.368,534,1.63435,3408,24.3379,2686,8.16701666666667,25.97225,31,0.0445333333333336,5.63971175297919,45.0094641043113,180.322706591738,2.53602275418027,178.0998,2.78873333333333,2.09513333333333,1.39475,7.2501188213918,42.2506924419039,0.199576031738762,59.1075333333333,9.97798333333333,23.2415666666667,11.4774666666667,0,0.0,0,0.0,0,0.0,0.0273116333042933,15.4550179452954,312,4.86015,123,135,0.512508399443213,0.562509218901088,0,0.0,2,3.688,2,3.688,0,0.0,1,0.641000000000002,1,0.641000000000002,0.652528989484042,0.844897791598485,2200.0
Exp55R,male,wild,WT,alpha,00079474c9,18,2427.503,1275,3.90945,6517,50.5613166666667,4910,15.0445666666667,54.4707666666667,107,0.194533333333334,4.69928125773733,41.750140240005,395.368470384487,2.56192490850425,142.469816666667,4.10491666666667,4.41258333333333,0.827083333333333,13.2502171563367,40.2506596635889,0.17398324432535,93.4213333333333,13.7125666666667,45.6778166666667,24.9802,7,7.281,2,2.172,9,9.453,0.0880095376095348,22.2744185131252,617,9.50418333333333,286,320,1.19168619707934,1.33335518554332,7,6.87500000000001,5,4.98500000000001,12,11.86,2,4.156,5,7.109,3,2.953,0.762783507487587,0.902556701497517,2399.67553851448
Exp55R,male,wild,WT,gamma,0007946e6f,18,2074.581,783,1.818,4222,38.0785,3163,9.19728333333334,39.8965,64,0.0940500000000001,4.30681029314892,39.8414990534409,255.750940604133,2.63873261555937,165.382966666667,2.17686666666667,3.95641666666667,0.270816666666666,8.50013930783866,36.7506023015377,0.160140773140997,72.4362333333333,8.78995,30.6226833333333,19.26355,0,0.0,3,3.438,3,3.438,0.0851697520679575,22.138957994062,425,8.35368333333333,191,192,0.795846376371168,0.800013111325991,5,5.938,7,5.326,12,11.264,5,3.501,6,4.298,1,0.796999999999997,0.794114560637956,0.80223708712083,2037.78782098934
Exp55R,male,wild,WT,delta,00079485fe,18,2064.615,808,2.13035,4154,37.67455,3016,8.47473333333334,39.8049,65,0.0968833333333332,4.87275618715211,48.4804190774665,258.464551966229,2.83744217158292,167.322366666667,3.04093333333333,6.53781666666667,0.225566666666667,8.25013521054928,32.250528550329,0.230132001135585,69.6327666666667,9.96701666666667,35.0353,14.0799166666667,2,2.23399999999999,1,0.953,3,3.18699999999999,0.041336947327994,16.9725845315483,367,6.45671666666667,192,211,0.800013111325991,0.879181075467626,3,4.547,4,3.672,7,8.219,2,3.218,3,6.577,1,3.359,0.81771501836123,0.877590577901075,2323.60164316632
Exp55R,male,wild,WT,beta,0007946daf,18,2291.438,1111,3.52673333333333,6492,51.3484000000001,4987,14.7589,54.8751333333334,105,0.171349999999999,4.60311394568692,40.5258700518933,365.60746344649,2.67049020658108,126.502766666667,12.04145,2.65708333333333,0.0,20.5003359777285,35.5005818150909,0.182146997398159,101.45185,20.5731666666667,42.0466333333333,28.9203,1,0.890999999999998,4,3.84299999999999,5,4.73399999999999,0.0657567156521221,26.0468041558692,413,7.42543333333333,246,253,1.02501679888643,1.05418394357019,1,0.0780000000000001,5,6.64200000000001,6,6.72000000000001,0,0.0,0,0.0,0,0.0,0.75,0.749725598166513,1952.79671366737
Exp56L,male,wild,WT,alpha,7948811,19,2485.579,1048,2.99118333333333,6894,55.8848833333334,5624,18.0605,58.8760666666668,142,0.255400000000001,4.09240538005774,35.3671043382162,379.497922108695,2.23494753288736,105.048416666667,9.73138333333333,3.19585,1.82875,33.9680103923402,217.743656361155,0.69187667085949,91.8852333333333,9.77098333333333,49.9426666666667,28.0129333333333,3,2.548,0,0.0,3,2.548,0.0440761722001445,53.6685040588526,294,4.68405,142,136,0.687102204517423,0.658069717002602,8,5.04700000000001,0,0.0,8,5.04700000000001,0,0.0,2,2.718,2,2.718,0.75,0.95,2499.51330777172
Exp56L,male,wild,WT,epsilon,7947370,19,1882.776,671,2.44038333333333,4691,33.4819833333334,4008,14.47985,35.9223666666667,212,0.684383333333333,3.76297354184016,29.2752790815917,276.351146909586,2.17891990852116,137.3182,9.31126666666667,0.648916666666666,0.0130333333333335,22.6453402615601,42.6777566467864,0.629958493675622,60.0355666666667,5.22246666666667,32.60205,18.9502166666667,3,1.438,5,3.35900000000001,8,4.79700000000001,-0.00271934435218125,53.6864484379799,78,1.67588333333333,23,25,0.111291202140146,0.12096869797842,0,0.0,4,5.282,4,5.282,0,0.0,1,0.484999999999999,1,0.484999999999999,1.0,0.896035595788801,2032.52374673322
Exp56L,male,wild,WT,beta,7948045,19,2318.6,1064,3.21891666666667,8657,66.6310500000001,7444,25.4805833333334,69.8499666666667,219,0.491316666666666,2.95087519891645,25.4961839431636,400.740396636461,2.00574524543144,79.36345,15.2622666666667,6.45048333333333,1.27498333333333,38.9035332698597,116.710599809579,0.61751825343042,112.039316666667,15.8192666666667,67.20405,29.3131833333333,3,2.468,3,2.39199999999999,6,4.85999999999999,0.0243222825838938,52.9024797037396,285,4.97003333333333,161,145,0.779038414981022,0.701618448274833,1,0.25,13,5.60900000000001,14,5.85900000000001,4,4.812,4,4.812,0,0.0,0.805300362075726,0.916452303227132,2200.0
Exp56L,male,wild,WT,delta,0007947d79,19,2079.931,432,1.46696666666667,4067,25.3457833333334,3637,16.7865666666667,26.81275,122,0.270816666666667,3.2070615679366,20.7940094204526,169.087295434339,2.04541770778854,144.0232,5.48358333333333,0.9002,0.0080666666666667,10.7420203804837,55.7423760284557,0.589969230438436,57.15825,6.05233333333333,22.53085,21.9137166666667,2,0.718,1,0.313000000000001,3,1.031,-0.0283351983888694,50.8642081877111,142,2.71723333333333,103,102,0.498391035671088,0.493552287751952,0,0.0,0,0.0,0,0.0,2,1.59400000000001,3,3.26500000000001,1,1.671,1.0,0.842981192440132,2299.83776925724
Exp56L,male,wild,WT,gamma,0007945de2,19,2159.97,1155,4.27521666666667,6333,45.2793500000001,5193,20.1473666666667,49.5545666666667,339,0.952316666666667,4.38310755077617,30.9965723341489,435.008438214056,2.42639881280875,99.2432666666667,25.7475666666667,1.52396666666667,0.0171833333333336,62.7101730320127,74.6134929130892,0.464140268868235,81.6742,12.4936166666667,32.1020166666667,39.1521666666667,2,1.282,4,2.39,6,3.672,-0.00138901257457638,63.8699126912792,67,1.70546666666667,23,21,0.111291202140146,0.101613706301872,1,0.797000000000001,1,0.25,2,1.047,2,3.34200000000001,2,3.34200000000001,0,0.0,1.0,0.923852138494593,2000.32446148552
Exp56R,male,wild,WT,epsilon,000794875e,19,2038.137,1466,3.6185,7939,60.7144500000001,6388,18.3197833333334,64.3329500000001,181,0.266716666666667,3.96334360279574,37.7075176921205,414.804644999463,2.58595536375012,131.836133333333,14.6362,8.0672,2.1534,32.500514591481,55.2508748055178,0.820470795590274,93.5238666666667,11.24265,57.81225,25.9246833333333,0,0.0,1,1.36,1,1.36,0.0199361913083524,28.1130039077283,548,14.11085,237,290,0.987515635664231,1.2083524655807,5,7.984,2,2.547,7,10.531,1,0.953000000000003,3,3.578,2,2.625,0.624674912822131,0.686208209174354,2037.78782098934
Exp56R,male,wild,WT,alpha,00079490ab,19,2542.376,1285,3.90976666666667,7329,54.1954333333335,5890,16.8991333333334,58.1052000000001,172,0.251249999999999,4.75113180307575,44.4711801781597,416.872520578809,2.46851535574203,144.4988,14.2862666666667,5.60583333333333,1.362,35.0005541754411,24.7503918812048,0.863499582234337,81.2111333333333,19.7433833333333,53.51175,22.51295,1,1.36,1,1.047,2,2.407,-0.0266874415181118,37.6342827902345,404,8.0568,138,128,0.575009104310818,0.533341777911484,0,0.0,0,0.0,0,0.0,2,0.469999999999999,3,1.423,1,0.953000000000003,1.0,0.699443393038603,2200.0
Exp56R,male,wild,WT,gamma,0007945c9b,19,2145.451,287,0.6574,1071,11.2377166666667,744,2.12515,11.8951166666667,30,0.0405833333333335,5.63982122806815,52.9144279909114,82.8469482562316,3.0671252464021,212.578716666667,12.4917666666667,1.79473333333333,0.0653666666666667,15.7502493789485,1.00001583358403,3.23824416069547,14.9257166666667,1.84395,13.0228166666667,1.12631666666667,0,0.0,1,1.437,1,1.437,-0.0117439402770747,9.07176019962492,114,1.80338333333333,35,30,0.145835642397671,0.125001979198004,0,0.0,3,5.373,3,5.373,2,1.5,2,1.5,0,0.0,0.640769905369775,0.849810847666273,2037.78782098934
Exp56R,male,wild,WT,delta,000794a12a,19,2077.868,1375,2.96056666666667,10989,87.8568833333331,9425,28.2993500000001,90.8174499999998,193,0.283833333333333,3.04957604428878,30.1758050287177,458.194942797432,2.34123331450047,77.1706833333333,28.959,15.2841166666667,1.91906666666667,40.0006333433613,8.25013062706826,0.475059249361667,133.866516666667,29.4892,85.7132833333333,34.9907666666667,2,1.938,0,0.0,2,1.938,-0.0126930524401816,33.5976616064186,720,16.9664833333333,306,338,1.27502018781964,1.40835563229751,2,2.625,5,7.11,7,9.735,1,2.313,2,3.063,1,0.75,0.845892887705414,0.784634238045586,2447.20328633263
Exp56R,male,wild,WT,beta,79483,19,2222.947,1325,2.98648333333333,7225,59.2492666666668,5725,17.1185333333334,62.2357500000001,234,0.36415,4.28079493007757,39.0355583156904,399.688395784763,2.66722008340548,127.92235,21.6697833333333,5.42286666666667,0.443516666666667,57.0009025142898,30.750486882709,0.665407684119529,90.4040666666667,11.9469,49.82345,30.7356166666667,1,1.437,1,0.891,2,2.328,0.0198835506649379,29.2866515529404,562,12.17655,240,276,1.00001583358403,1.15001820862164,5,7.437,7,11.0,12,18.437,2,4.78,3,7.093,1,2.313,0.804830728297282,0.662031690645868,2200.0
Exp57L,female,wild,WT,epsilon,0007945a2c,22,2114.995,982,2.3067,6686,45.2821333333334,5328,16.4469,47.5888333333334,146,0.2245,3.46390259173775,32.9556327235104,289.638559108218,2.34795708323079,122.456183333333,6.87835,2.81406666666667,0.06255,9.5001504190483,51.5008154295776,0.131587878419546,110.661666666667,17.1634,47.1222833333333,26.8024,0,0.0,0,0.0,0,0.0,0.0384275206238029,30.3400734142288,303,5.06836666666667,146,144,0.608342965430286,0.600009500150419,3,1.922,5,8.405,8,10.327,0,0.0,2,8.89,2,8.89,1.0,0.784427366103032,2200.0
Exp57L,female,wild,WT,gamma,00079485fe,22,2151.339,1254,3.39481666666667,5934,51.8248000000001,4190,11.9998666666667,55.2196166666667,143,0.237933333333333,4.99049396117548,45.5063649705285,397.934513768902,2.66102436994802,127.573116666667,7.08041666666667,1.0414,0.747633333333333,20.0003166716806,93.001472523315,0.129885671182954,105.342666666667,8.37308333333333,49.0873833333333,24.4225333333333,1,1.844,2,1.672,3,3.516,0.0933328766051342,27.642481160176,422,6.12543333333333,214,221,0.891680784945762,0.920847913425296,5,8.62400000000001,9,9.43700000000001,14,18.061,3,6.24900000000001,5,10.655,2,4.406,1.0,0.89663436997422,2076.39835683368
